timeline_s,gpu_util_pct_mean,gpu_util_pct_std,gpu_mem_mb_mean,gpu_mem_mb_std,cpu_util_pct_mean,cpu_util_pct_std,num_samples
81.0,97.000000,3.000000,10923.250000,0.000000,0.500000,0.000000,2
81.5,96.000000,2.828427,10923.250000,0.000000,0.500000,0.000000,3
82.0,96.000000,2.828427,10923.250000,0.000000,0.500000,0.000000,3
82.5,95.666667,2.357023,10923.250000,0.000000,0.533333,0.047140,3
83.0,95.666667,2.357023,10923.250000,0.000000,0.500000,0.000000,3
83.5,94.500000,0.500000,10923.250000,0.000000,0.500000,0.000000,2
84.0,96.000000,2.000000,10923.250000,0.000000,0.500000,0.000000,2
84.5,94.500000,0.500000,10923.250000,0.000000,0.500000,0.000000,2
85.0,96.333333,2.624669,10923.250000,0.000000,0.533333,0.047140,3
85.5,98.000000,2.828427,10923.250000,0.000000,0.500000,0.000000,3
86.0,98.000000,2.828427,10923.250000,0.000000,0.500000,0.000000,3
86.5,98.000000,2.828427,10923.250000,0.000000,0.500000,0.000000,3
87.0,97.000000,2.000000,10923.250000,0.000000,0.500000,0.000000,2
87.5,97.000000,3.000000,10923.250000,0.000000,0.550000,0.050000,2
88.0,97.500000,2.500000,10923.250000,0.000000,0.550000,0.050000,2
88.5,98.000000,2.828427,10923.250000,0.000000,0.500000,0.000000,3
89.0,97.666667,2.624669,10923.250000,0.000000,0.500000,0.000000,3
89.5,96.333333,2.624669,10923.250000,0.000000,0.500000,0.000000,3
90.0,97.000000,3.000000,10923.250000,0.000000,0.500000,0.000000,2
90.5,94.000000,0.000000,10923.250000,0.000000,0.550000,0.050000,2
91.0,96.333333,2.624669,10923.250000,0.000000,0.533333,0.047140,3
91.5,96.500000,2.500000,10923.250000,0.000000,0.500000,0.000000,2
92.0,96.333333,2.624669,10923.250000,0.000000,0.500000,0.000000,3
92.5,96.000000,2.828427,10923.250000,0.000000,0.533333,0.047140,3
93.0,96.000000,2.828427,10923.250000,0.000000,0.500000,0.000000,3
93.5,97.000000,3.000000,10923.250000,0.000000,0.500000,0.000000,2
94.0,97.500000,2.500000,10923.250000,0.000000,0.500000,0.000000,2
94.5,95.666667,2.357023,10923.250000,0.000000,0.500000,0.000000,3
95.0,96.500000,2.500000,10923.250000,0.000000,0.550000,0.050000,2
95.5,96.000000,2.828427,10923.250000,0.000000,0.500000,0.000000,3
96.0,96.333333,2.624669,10923.250000,0.000000,0.500000,0.000000,3
96.5,96.666667,2.494438,10923.250000,0.000000,0.500000,0.000000,3
97.0,97.000000,3.000000,10923.250000,0.000000,0.500000,0.000000,2
97.5,97.000000,3.000000,10923.250000,0.000000,0.500000,0.000000,2
98.0,98.000000,2.828427,10923.250000,0.000000,0.566667,0.047140,3
98.5,100.000000,0.000000,10923.250000,0.000000,0.500000,0.000000,2
99.0,98.000000,2.160247,10923.250000,0.000000,0.500000,0.000000,3
99.5,97.666667,1.885618,10923.250000,0.000000,0.500000,0.000000,3
100.0,97.666667,2.624669,10923.250000,0.000000,0.500000,0.000000,3
100.5,97.000000,3.000000,10923.250000,0.000000,0.500000,0.000000,2
101.0,97.000000,3.000000,10923.250000,0.000000,0.500000,0.000000,2
101.5,96.000000,2.828427,10923.250000,0.000000,0.500000,0.000000,3
102.0,94.000000,0.000000,10923.250000,0.000000,0.500000,0.000000,2
