timeline_s,gpu_util_pct,gpu_mem_util_pct,gpu_mem_mb,cpu_util_pct,sys_mem_pct,sys_mem_mb
139.6178,95,40,6111.25,0.5,3.4,17506.05
140.2508,95,40,6111.25,0.5,3.4,17506.05
140.8847,95,41,6111.25,0.8,3.4,17506.02
141.5185,95,44,6111.25,0.6,3.4,17506.02
142.1517,92,45,6111.25,0.5,3.4,17506.02
142.7829,94,48,6111.25,0.5,3.4,17506.02
143.4171,95,41,6111.25,0.5,3.4,17506.02
144.0521,95,40,6111.25,0.5,3.4,17506.02
144.6779,95,41,6111.25,0.5,3.4,17506.02
145.3158,95,43,6111.25,0.5,3.4,17506.02
145.9486,92,43,6111.25,0.5,3.4,17506.26
146.5792,92,47,6111.25,0.5,3.4,17506.26
147.2123,95,41,6111.25,0.5,3.4,17506.26
147.8435,95,41,6111.25,0.5,3.4,17506.26
148.4772,95,41,6111.25,0.5,3.4,17506.26
149.1105,95,44,6111.25,0.5,3.4,17506.26
149.7370,92,41,6111.25,0.5,3.4,17506.26
150.3704,91,47,6111.25,0.5,3.4,17506.26
150.9990,95,41,6111.25,0.5,3.4,17506.26
151.6328,95,45,6111.25,0.5,3.4,17506.26
152.2637,94,40,6111.25,0.5,3.4,17506.26
152.8961,95,43,6111.25,0.5,3.4,17506.26
153.5296,95,43,6111.25,0.5,3.4,17506.26
154.1594,91,48,6111.25,0.5,3.4,17506.26
154.7932,95,44,6111.25,0.5,3.4,17506.26
155.4249,95,48,6111.25,0.5,3.4,17506.26
156.0587,95,41,6111.25,0.5,3.4,17506.26
156.6900,95,43,6111.25,0.5,3.4,17506.26
157.3211,95,44,6111.25,0.5,3.4,17506.26
157.9530,92,46,6111.25,0.6,3.4,17506.26
158.5865,95,46,6111.25,0.5,3.4,17506.26
159.2163,95,41,6111.25,0.5,3.4,17506.26
159.8505,95,41,6111.25,0.5,3.4,17506.26
160.4774,95,42,6111.25,0.5,3.4,17506.26
161.1101,95,44,6111.25,0.5,3.4,17506.02
161.7377,92,43,6111.25,0.5,3.4,17505.94
162.3714,91,47,6111.25,0.5,3.4,17505.94
163.0039,95,40,6111.25,0.5,3.4,17505.94
163.6343,95,43,6111.25,0.5,3.4,17505.94
164.2693,95,40,6111.25,0.5,3.4,17505.94
164.9003,95,44,6111.25,0.5,3.4,17505.94
165.5318,94,41,6111.25,0.5,3.4,17505.94
166.1649,91,47,6111.25,0.5,3.4,17505.94
166.7946,95,41,6111.25,0.5,3.4,17505.94
167.4290,95,44,6111.25,0.5,3.4,17505.94
168.0622,95,41,6111.25,0.6,3.4,17505.94
168.6943,95,43,6111.25,0.6,3.4,17506.00
169.3282,95,42,6111.25,0.5,3.4,17505.94
169.9592,91,47,6111.25,0.5,3.4,17505.80
170.5904,95,43,6111.25,0.6,3.4,17506.78
